Time,Pleth
24:46.5,-101
24:46.5,55
24:46.5,-148
24:46.5,-140
24:46.5,-133
24:46.5,-126
24:46.5,-119
24:46.5,-116
24:46.5,-112
24:46.5,-109
24:46.5,-104
24:46.5,1960
24:46.5,-3398
24:46.5,-5640
24:46.6,-6370
24:46.6,-6383
24:46.6,-6073
24:46.6,-5632
24:46.7,-5156
24:46.7,-4689
24:46.7,-4247
24:46.7,-3838
24:46.7,-3468
24:46.7,-3134
24:46.8,-2828
24:46.8,-2551
24:46.8,-2303
24:46.8,-2081
24:46.9,-1882
24:46.9,-1703
24:46.9,-1547
24:46.9,-1418
24:46.9,-1305
24:46.9,-1200
24:46.9,-1109
24:47.0,-1024
24:47.0,-947
24:47.0,-875
24:47.0,-809
24:47.0,-747
24:47.1,-689
24:47.1,-634
24:47.1,-582
24:47.2,-533
24:47.2,-486
24:47.2,-444
24:47.2,-406
24:47.2,-373
24:47.2,-342
24:47.3,-316
24:47.3,-292
24:47.3,-268
24:47.3,-248
24:47.3,-232
24:47.3,-222
24:47.4,-212
24:47.4,-206
24:47.4,-200
24:47.4,-192
24:47.5,-182
24:47.5,-171
24:47.5,-160
24:47.5,-149
24:47.5,-138
24:47.6,-130
24:47.6,-121
24:47.6,-115
24:47.6,-110
24:47.6,-108
24:47.6,-106
24:47.7,-105
24:47.7,-104
24:47.7,-104
24:47.7,-106
24:47.7,-110
24:47.8,-113
24:47.8,-115
24:47.8,-113
24:47.8,-109
24:47.8,-104
24:47.9,-99
24:47.9,-95
24:47.9,-91
24:47.9,-89
24:47.9,-88
24:48.0,-89
24:48.0,-89
24:48.0,-89
24:48.0,-89
24:48.1,-89
24:48.1,-89
24:48.1,-89
24:48.1,-88
24:48.2,-90
24:48.2,-89
24:48.2,-89
24:48.2,-89
24:48.2,-87
24:48.3,-86
24:48.3,-88
24:48.3,-97
24:48.3,-113
24:48.3,-135
24:48.3,-155
24:48.3,-172
24:48.4,-184
24:48.4,-194
24:48.4,-198
24:48.4,-201
24:48.5,-203
24:48.5,-201
24:48.5,-197
24:48.5,-188
24:48.5,-177
24:48.5,-166
24:48.6,-159
24:48.6,-152
24:48.6,-144
24:48.6,-138
24:48.7,-133
24:48.7,-127
24:48.7,-121
24:48.7,-115
24:48.7,-111
24:48.8,-107
24:48.8,-103
24:48.8,-99
24:48.8,-96
24:48.8,-94
24:48.9,-91
24:48.9,-89
24:48.9,-88
24:48.9,-86
24:48.9,-85
24:49.0,-84
24:49.0,-83
24:49.0,-82
24:49.0,-82
24:49.1,-85
24:49.1,-94
24:49.1,-110
24:49.1,-130
24:49.1,-148
24:49.1,-164
24:49.2,-177
24:49.2,-186
24:49.2,-195
24:49.2,-198
24:49.2,-199
24:49.2,-197
24:49.3,-192
24:49.3,-185
24:49.3,-175
24:49.3,-165
24:49.4,-152
24:49.4,-141
24:49.4,-131
24:49.4,-123
24:49.4,-118
24:49.5,-113
24:49.5,-108
24:49.5,-105
24:49.5,-104
24:49.5,-104
24:49.5,-110
24:49.6,-114
24:49.6,-116
24:49.6,-115
24:49.6,-111
24:49.6,-103
24:49.7,-94
24:49.7,-86
24:49.7,-80
24:49.7,-78
24:49.7,-76
24:49.8,-75
24:49.8,-74
24:49.8,-75
24:49.8,-75
24:49.9,-76
24:49.9,-75
24:49.9,-74
24:49.9,-73
24:50.0,-70
24:50.0,-69
24:50.0,-69
24:50.0,-69
24:50.0,-68
24:50.1,-68
24:50.1,-67
24:50.1,-67
24:50.1,-69
24:50.1,-77
24:50.1,-90
24:50.1,-110
24:50.2,-130
24:50.2,-147
24:50.2,-162
24:50.2,-172
24:50.3,-180
24:50.3,-184
24:50.3,-185
24:50.3,-183
24:50.3,-176
24:50.4,-166
24:50.4,-157
24:50.4,-148
24:50.4,-140
24:50.4,-135
24:50.5,-130
24:50.5,-126
24:50.5,-123
24:50.5,-119
24:50.5,-114
24:50.5,-111
