Time,Pleth
01:36.8,-52
01:36.8,-53
01:36.8,-70
01:36.8,-131
01:36.8,-205
01:36.9,-250
01:36.9,-268
01:36.9,-265
01:36.9,-250
01:36.9,-225
01:37.0,-196
01:37.0,-167
01:37.0,-142
01:37.0,-118
01:37.0,-100
01:37.0,-85
01:37.1,-71
01:37.1,-58
01:37.1,-48
01:37.1,-47
01:37.1,-55
01:37.2,-69
01:37.2,-81
01:37.2,-91
01:37.2,-97
01:37.2,-95
01:37.3,-91
01:37.3,-87
01:37.3,-82
01:37.3,-75
01:37.3,-70
01:37.4,-65
01:37.4,-62
01:37.4,-60
01:37.4,-58
01:37.5,-59
01:37.5,-61
01:37.5,-63
01:37.5,-64
01:37.5,-65
01:37.5,-66
01:37.6,-67
01:37.6,-67
01:37.6,-85
01:37.6,-147
01:37.7,-218
01:37.7,-263
01:37.7,-282
01:37.7,-284
01:37.7,-273
01:37.7,-252
01:37.8,-225
01:37.8,-195
01:37.8,-169
01:37.8,-147
01:37.9,-127
01:37.9,-111
01:37.9,-95
01:37.9,-80
01:37.9,-69
01:37.9,-64
01:38.0,-66
01:38.0,-74
01:38.0,-83
01:38.0,-90
01:38.0,-93
01:38.1,-95
01:38.1,-92
01:38.1,-85
01:38.1,-75
01:38.1,-68
01:38.2,-62
01:38.2,-57
01:38.2,-51
01:38.2,-47
01:38.2,-46
01:38.2,-46
01:38.3,-46
01:38.3,-48
01:38.3,-47
01:38.4,-51
01:38.4,-51
01:38.4,-52
01:38.4,-52
01:38.4,-61
01:38.5,-106
01:38.5,-186
01:38.5,-245
01:38.5,-271
01:38.5,-276
01:38.5,-266
01:38.6,-245
01:38.6,-217
01:38.6,-187
01:38.6,-159
01:38.6,-135
01:38.7,-115
01:38.7,-98
01:38.7,-82
01:38.7,-68
01:38.8,-59
01:38.8,-54
01:38.8,-60
01:38.8,-71
01:38.8,-83
01:38.8,-91
01:38.9,-98
01:38.9,-99
01:38.9,-97
01:38.9,-89
01:39.0,-83
01:39.0,-75
01:39.0,-69
01:39.0,-64
01:39.0,-60
01:39.1,-58
01:39.1,-57
01:39.1,-57
01:39.1,-57
01:39.1,-58
01:39.1,-58
01:39.2,-60
01:39.2,-65
01:39.2,-100
01:39.2,-175
01:39.2,-239
01:39.3,-272
01:39.3,-283
01:39.3,-278
01:39.3,-259
01:39.3,-233
01:39.3,-203
01:39.4,-175
01:39.4,-150
01:39.4,-130
01:39.4,-113
01:39.5,-98
01:39.5,-83
01:39.5,-70
01:39.5,-63
01:39.5,-63
01:39.6,-69
01:39.6,-79
01:39.6,-88
01:39.6,-95
01:39.6,-98
01:39.7,-96
01:39.7,-91
01:39.7,-83
01:39.7,-76
01:39.7,-69
01:39.8,-62
01:39.8,-56
01:39.8,-51
01:39.8,-48
01:39.9,-47
01:39.9,-46
01:39.9,-47
01:39.9,-47
01:39.9,-48
01:39.9,-50
01:40.0,-56
01:40.0,-84
01:40.0,-160
01:40.0,-229
01:40.1,-266
01:40.1,-280
01:40.1,-275
01:40.1,-255
01:40.1,-229
01:40.2,-200
01:40.2,-170
01:40.2,-146
01:40.2,-124
01:40.2,-106
01:40.3,-91
01:40.3,-76
01:40.3,-64
01:40.3,-55
01:40.3,-56
01:40.3,-59
01:40.4,-67
01:40.4,-76
01:40.4,-84
01:40.4,-86
01:40.4,-86
01:40.5,-82
01:40.5,-76
01:40.5,-69
01:40.5,-63
01:40.5,-57
01:40.6,-53
01:40.6,-49
01:40.6,-47
01:40.6,-45
01:40.6,-44
01:40.7,-44
01:40.7,-44
01:40.7,-45
01:40.7,-47
01:40.7,-49
01:40.8,-50
01:40.8,-55
01:40.8,-75
01:40.8,-142
01:40.8,-220
01:40.9,-265
01:40.9,-282
01:40.9,-277
01:40.9,-260
01:40.9,-232
01:40.9,-202
01:41.0,-172
01:41.0,-145
01:41.0,-121
01:41.0,-102
01:41.0,-86
01:41.1,-72
01:41.1,-59
01:41.1,-53
01:41.1,-51
01:41.2,-58
01:41.2,-70
01:41.2,-84
01:41.2,-95
01:41.2,-99
01:41.3,-99
01:41.3,-96
01:41.3,-89
01:41.3,-82
01:41.3,-75
01:41.4,-69
01:41.4,-64
01:41.4,-61
01:41.4,-58
01:41.4,-57
01:41.5,-57
01:41.5,-58
01:41.5,-58
01:41.5,-57
01:41.6,-58
01:41.6,-58
01:41.6,-63
01:41.6,-96
01:41.6,-173
01:41.7,-241
01:41.7,-278
01:41.7,-287
01:41.7,-279
01:41.7,-259
01:41.7,-231
01:41.8,-200
01:41.8,-169
01:41.8,-143
01:41.8,-121
01:41.8,-103
01:41.9,-86
01:41.9,-73
01:41.9,-60
01:41.9,-56
01:41.9,-57
01:41.9,-65
01:42.0,-75
01:42.0,-86
01:42.0,-92
01:42.0,-95
01:42.1,-92
01:42.1,-86
01:42.1,-81
01:42.1,-74
01:42.1,-67
01:42.2,-62
01:42.2,-57
01:42.2,-54
01:42.2,-53
01:42.2,-52
01:42.3,-53
01:42.3,-55
